code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603156,养元饮品,软饮料,河北,13.36,0.6,7.53,1251716.0,1046275.19,62395.13,322262.19,4.28,2.34,14.54,2.83,20180212,667773.06,8.86,5.42,11.01,49.25,30.24,21759.0
603157,拉夏贝尔,服饰,上海,10.79,1.46,5.48,748630.13,411466.5,45420.1,189424.2,3.46,0.431,7.3,1.27,20170925,133069.5,2.43,2.26,-16.3,62.96,5.39,25824.0
603158,腾龙股份,汽车配件,江苏,33.36,2.17,2.19,156939.8,87169.71,38853.34,28967.85,1.33,0.26,4.64,3.62,20150320,49633.81,2.27,17.45,-16.56,30.51,10.68,7907.0
603159,上海亚虹,专用机械,上海,38.55,0.25,1.0,59105.93,34007.73,17303.95,12207.2,1.22,0.218,4.02,4.18,20160812,16254.23,1.63,8.47,4.68,20.99,6.95,13106.0
603160,汇顶科技,元器件,深圳,155.64,2.32,4.57,473665.41,425253.81,16432.61,143745.13,3.15,0.246,7.36,10.39,20161017,181424.55,3.97,-24.45,-76.72,39.65,8.08,29813.0
603161,科华控股,汽车配件,江苏,21.39,0.33,1.33,276661.81,142780.36,82482.31,71531.7,5.36,0.38,8.92,1.73,20180105,30407.48,2.28,53.07,-16.1,24.13,7.8,19203.0
603165,荣晟环保,造纸,浙江,14.28,0.44,1.8,140284.06,82321.03,42873.78,37307.7,2.07,0.782,6.48,2.3,20170117,59223.6,3.29,4.66,-49.81,14.03,9.02,15931.0
603166,福达股份,汽车配件,广西,29.4,5.92,5.98,336733.78,144326.0,149807.02,106300.35,1.78,0.134,3.48,1.51,20141127,36788.68,0.62,9.66,-24.45,22.27,7.51,27073.0
603167,渤海轮渡,水运,山东,8.07,4.81,4.93,443340.91,99555.56,317393.34,112744.81,2.29,0.53,6.71,1.24,20120906,147820.25,3.0,11.36,6.76,36.04,32.5,34156.0
603168,莎普爱思,化学制药,浙江,20.8,2.97,3.23,180304.63,89612.85,51316.03,61993.55,1.92,0.242,5.23,1.28,20140702,63473.38,1.97,-29.34,-47.1,74.32,15.7,27914.0
603169,兰石重装,专用机械,甘肃,0.0,10.25,10.52,1187390.75,833495.56,268832.28,146691.44,1.4,-0.153,2.96,1.41,20141009,48360.37,0.46,0.89,-1105.65,7.35,-7.44,52583.0
603177,德创环保,环境保护,浙江,664.29,0.62,2.02,124613.36,105255.02,11740.42,11599.0,0.57,0.01,2.56,3.54,20170207,16128.09,0.8,-9.76,-90.97,24.11,0.4,22118.0
603178,圣龙股份,汽车配件,浙江,33.62,0.5,2.03,206246.45,85245.99,68403.67,34208.87,1.68,0.16,4.07,2.64,20170328,27975.26,1.38,-3.82,-7.46,20.53,4.8,15861.0
603179,新泉股份,汽车配件,江苏,12.47,0.93,2.27,414854.31,301541.06,69454.68,68288.55,3.01,0.669,6.24,2.67,20170317,52763.43,2.32,17.23,39.58,23.27,8.21,10696.0
603180,金牌厨柜,家居用品,福建,20.05,0.18,0.68,169261.38,85402.47,50495.43,48273.96,7.15,1.78,13.57,3.48,20170512,37417.98,5.54,16.83,31.53,38.82,10.55,11556.0
603181,皇马科技,化工原料,浙江,15.43,0.99,2.0,157021.91,64341.98,57244.3,60985.69,3.05,0.679,6.86,2.04,20170824,53325.21,2.67,4.45,38.26,19.61,10.82,22702.0
603183,建研院,建筑施工,江苏,50.58,0.74,1.25,85043.32,64351.68,9716.86,32573.09,2.6,0.28300000000000003,5.32,3.59,20170905,23494.47,1.88,13.5,6.14,45.63,10.82,19783.0
603186,华正新材,元器件,浙江,22.08,0.74,1.31,211484.41,129234.15,35910.3,20601.22,1.58,0.45,5.03,2.59,20170103,30788.4,2.36,9.04,-17.69,19.16,4.78,10960.0
603188,ST亚邦,染料涂料,江苏,13.24,5.76,5.76,461076.25,148216.56,215462.72,43595.76,0.76,0.476,5.41,1.55,20140909,192384.36,3.34,-32.97,-43.5,51.07,16.67,32191.0
603189,网达软件,软件服务,上海,0.0,1.1,2.21,82940.59,67315.02,10264.65,37235.12,1.69,-0.039,3.55,2.76,20160914,16008.54,0.73,-25.99,-172.51,37.53,-13.99,29029.0
603192,汇得科技,化工原料,上海,29.27,0.27,1.07,178750.36,160609.5,8650.07,71584.93,6.71,1.1,10.24,3.26,20180828,24220.7,2.27,0.0,0.0,18.23,7.24,19843.0
603196,日播时尚,服饰,上海,73.96,0.65,2.4,114151.27,79396.15,12779.25,38313.35,1.6,0.075,3.87,2.86,20170531,25986.6,1.08,11.14,-28.97,63.87,3.51,14060.0
603197,保隆科技,汽车配件,上海,15.73,0.98,1.67,269287.84,186461.38,52752.67,69560.96,4.16,0.52,7.99,2.02,20170519,49714.01,2.98,16.09,-9.14,32.76,7.52,10763.0
603198,迎驾贡酒,白酒,安徽,13.29,8.0,8.0,516015.84,343847.97,127193.57,126300.05,1.58,0.478,4.93,2.58,20150528,158132.84,1.98,10.81,15.96,61.02,22.05,39520.0
